🇨🇳央視頻道,#genre#
星河台·國語版,https://everydaytv.top/play-2-26-0.html$Js=everydaytv
星河台·粵語版,https://everydaytv.top/play-2-27-0.html$Js=everydaytv
娛樂新聞台,https://everydaytv.top/play-2-28-0.html$Js=everydaytv
有線18台,https://everydaytv.top/play-2-29-0.html$Js=everydaytv
有線財經資訊台,https://everydaytv.top/play-2-30-0.html$Js=everydaytv
有線高清603台,https://everydaytv.top/play-2-31-0.html$Js=everydaytv
有線體育台,https://everydaytv.top/play-2-32-0.html$Js=everydaytv
有線新聞台,https://everydaytv.top/play-2-33-0.html$Js=everydaytv
🇹🇼台灣頻道,#genre#
AXN,https://everydaytv.top/play-3-0-0.html$Js=everydaytv
八大第1台,https://everydaytv.top/play-3-1-0.html$Js=everydaytv
八大精采台,https://everydaytv.top/play-3-2-0.html$Js=everydaytv
八大戲劇台,https://everydaytv.top/play-3-3-0.html$Js=everydaytv
八大綜合台,https://everydaytv.top/play-3-4-0.html$Js=everydaytv
八大綜藝台,https://everydaytv.top/play-3-5-0.html$Js=everydaytv
CATCHPLAY電影台,https://everydaytv.top/play-3-6-0.html$Js=everydaytv
cnex,https://everydaytv.top/play-3-7-0.html$Js=everydaytv
CNN,https://everydaytv.top/play-3-8-0.html$Js=everydaytv
Discovery,https://everydaytv.top/play-3-9-0.html$Js=everydaytv
Discovery Asia,https://everydaytv.top/play-3-10-0.html$Js=everydaytv
Discovery DMAX,https://everydaytv.top/play-3-11-0.html$Js=everydaytv
Discovery SCI,https://everydaytv.top/play-3-12-0.html$Js=everydaytv
東森財經新聞,https://everydaytv.top/play-3-13-0.html$Js=everydaytv
東森電影,https://everydaytv.top/play-3-14-0.html$Js=everydaytv
東森LIVE,https://everydaytv.top/play-3-15-0.html$Js=everydaytv
東森新聞,https://everydaytv.top/play-3-16-0.html$Js=everydaytv
東森洋片,https://everydaytv.top/play-3-17-0.html$Js=everydaytv
ELEVEN 1,https://everydaytv.top/play-3-18-0.html$Js=everydaytv
ELEVEN 2,https://everydaytv.top/play-3-19-0.html$Js=everydaytv
ELTA體育一台,https://everydaytv.top/play-3-20-0.html$Js=everydaytv
ELTA體育二台,https://everydaytv.top/play-3-21-0.html$Js=everydaytv
ELTA體育三台,https://everydaytv.top/play-3-22-0.html$Js=everydaytv
ELTA娛樂,https://everydaytv.top/play-3-23-0.html$Js=everydaytv
ELTV生活英語台,https://everydaytv.top/play-3-24-0.html$Js=everydaytv
HBO family,https://everydaytv.top/play-3-25-0.html$Js=everydaytv
HBO HiTS,https://everydaytv.top/play-3-26-0.html$Js=everydaytv
HBO Signature,https://everydaytv.top/play-3-27-0.html$Js=everydaytv
韓國娛樂台,https://everydaytv.top/play-3-28-0.html$Js=everydaytv
Hollywood,https://everydaytv.top/play-3-29-0.html$Js=everydaytv
華視,https://everydaytv.top/play-3-30-0.html$Js=everydaytv
華視新聞資訊,https://everydaytv.top/play-3-31-0.html$Js=everydaytv
寰宇新聞台,https://everydaytv.top/play-3-32-0.html$Js=everydaytv
靖天電影台,https://everydaytv.top/play-3-33-0.html$Js=everydaytv
靖天日本台,https://everydaytv.top/play-3-34-0.html$Js=everydaytv
靖天戲劇台,https://everydaytv.top/play-3-35-0.html$Js=everydaytv
靖天育樂台,https://everydaytv.top/play-3-36-0.html$Js=everydaytv
靖天綜合台,https://everydaytv.top/play-3-37-0.html$Js=everydaytv
靖洋戲劇台,https://everydaytv.top/play-3-38-0.html$Js=everydaytv
鏡新聞,https://everydaytv.top/play-3-39-0.html$Js=everydaytv
龍華電影,https://everydaytv.top/play-3-40-0.html$Js=everydaytv
龍華日韓,https://everydaytv.top/play-3-41-0.html$Js=everydaytv
龍華戲劇,https://everydaytv.top/play-3-42-0.html$Js=everydaytv
民視,https://everydaytv.top/play-3-43-0.html$Js=everydaytv
民視新聞台,https://everydaytv.top/play-3-44-0.html$Js=everydaytv
三立iNEWS,https://everydaytv.top/play-3-45-0.html$Js=everydaytv
三立LIVE,https://everydaytv.top/play-3-46-0.html$Js=everydaytv
三立綜合台,https://everydaytv.top/play-3-47-0.html$Js=everydaytv
台視,https://everydaytv.top/play-3-48-0.html$Js=everydaytv
台視新聞,https://everydaytv.top/play-3-49-0.html$Js=everydaytv
TVBS,https://everydaytv.top/play-3-50-0.html$Js=everydaytv
TVBS歡樂台,https://everydaytv.top/play-3-51-0.html$Js=everydaytv
TVBS精采台,https://everydaytv.top/play-3-52-0.html$Js=everydaytv
TVBS新聞台,https://everydaytv.top/play-3-53-0.html$Js=everydaytv
天映頻道,https://everydaytv.top/play-3-54-0.html$Js=everydaytv
緯來電影,https://everydaytv.top/play-3-55-0.html$Js=everydaytv
緯來日本,https://everydaytv.top/play-3-56-0.html$Js=everydaytv
緯來體育,https://everydaytv.top/play-3-57-0.html$Js=everydaytv
緯來戲劇,https://everydaytv.top/play-3-58-0.html$Js=everydaytv
緯來育樂,https://everydaytv.top/play-3-59-0.html$Js=everydaytv
緯來綜合,https://everydaytv.top/play-3-60-0.html$Js=everydaytv
星衛電影台,https://everydaytv.top/play-3-61-0.html$Js=everydaytv
星衛丨娛樂台,https://everydaytv.top/play-3-62-0.html$Js=everydaytv
影迷數位電影台,https://everydaytv.top/play-3-63-0.html$Js=everydaytv
中視,https://everydaytv.top/play-3-64-0.html$Js=everydaytv
中視BRAVO菁采,https://everydaytv.top/play-3-65-0.html$Js=everydaytv
中視新聞,https://everydaytv.top/play-3-66-0.html$Js=everydaytv
中天新聞,https://everydaytv.top/play-3-67-0.html$Js=everydaytv
🇲🇴澳門頻道,#genre#
澳門MACAU,https://everydaytv.top/play-4-0-0.html$Js=everydaytv
澳門體育,https://everydaytv.top/play-4-1-0.html$Js=everydaytv
澳門綜藝,https://everydaytv.top/play-4-2-0.html$Js=everydaytv
澳視澳門,https://everydaytv.top/play-4-3-0.html$Js=everydaytv
澳視葡文,https://everydaytv.top/play-4-4-0.html$Js=everydaytv
蓮花衛視,https://everydaytv.top/play-4-5-0.html$Js=everydaytv
🇭🇰TVB節目重溫,#genre#
午間新聞,https://everydaytv.top/play-5-0-0.html$Js=everydaytv
環球新聞檔案,https://everydaytv.top/play-5-1-0.html$Js=everydaytv
香港早晨,https://everydaytv.top/play-5-2-0.html$Js=everydaytv
新聞檔案,https://everydaytv.top/play-5-3-0.html$Js=everydaytv
晚間天氣報告,https://everydaytv.top/play-5-4-0.html$Js=everydaytv
晚間新聞,https://everydaytv.top/play-5-5-0.html$Js=everydaytv
六點半新聞報道,https://everydaytv.top/play-5-6-0.html$Js=everydaytv
警聲百二秒,https://everydaytv.top/play-5-7-0.html$Js=everydaytv
起動南沙,https://everydaytv.top/play-5-8-0.html$Js=everydaytv
講清講楚,https://everydaytv.top/play-5-9-0.html$Js=everydaytv
財經透視,https://everydaytv.top/play-5-10-0.html$Js=everydaytv
新聞透視,https://everydaytv.top/play-5-11-0.html$Js=everydaytv
無耆不有,https://everydaytv.top/play-5-12-0.html$Js=everydaytv
有理說得清,https://everydaytv.top/play-5-13-0.html$Js=everydaytv
世界觀,https://everydaytv.top/play-5-14-0.html$Js=everydaytv
財經新聞,https://everydaytv.top/play-5-15-0.html$Js=everydaytv
讓城市前行,https://everydaytv.top/play-5-16-0.html$Js=everydaytv
星期日檔案,https://everydaytv.top/play-5-17-0.html$Js=everydaytv
跨境鐵路新紀元 - 高鐵篇,https://everydaytv.top/play-5-18-0.html$Js=everydaytv
行政長官答問會 (2023/01/19),https://everydaytv.top/play-5-19-0.html$Js=everydaytv
2022香港大事回顧,https://everydaytv.top/play-5-20-0.html$Js=everydaytv
2022財經大事回顧,https://everydaytv.top/play-5-21-0.html$Js=everydaytv
2022國際大事回顧,https://everydaytv.top/play-5-22-0.html$Js=everydaytv
2022兩岸大事回顧,https://everydaytv.top/play-5-23-0.html$Js=everydaytv
創科新領域,https://everydaytv.top/play-5-24-0.html$Js=everydaytv
中共二十大開幕式,https://everydaytv.top/play-5-25-0.html$Js=everydaytv
無窮之路 II - 無價之保,https://everydaytv.top/play-5-26-0.html$Js=everydaytv
尋人記 II,https://everydaytv.top/play-5-27-0.html$Js=everydaytv
立法會選舉快訊,https://everydaytv.top/play-5-28-0.html$Js=everydaytv
無窮之路,https://everydaytv.top/play-5-29-0.html$Js=everydaytv
尋人記,https://everydaytv.top/play-5-30-0.html$Js=everydaytv
長命百二歲 II (30分鐘版),https://everydaytv.top/play-5-31-0.html$Js=everydaytv
長命百二歲 (30分鐘版),https://everydaytv.top/play-5-32-0.html$Js=everydaytv
新聞檔案,https://everydaytv.top/play-5-33-0.html$Js=everydaytv
時事多面睇,https://everydaytv.top/play-5-34-0.html$Js=everydaytv
無綫7:30 一小時新聞,https://everydaytv.top/play-5-35-0.html$Js=everydaytv
有理說得清,https://everydaytv.top/play-5-36-0.html$Js=everydaytv
時事通識,https://everydaytv.top/play-5-37-0.html$Js=everydaytv
世界觀,https://everydaytv.top/play-5-38-0.html$Js=everydaytv
港樓．講樓,https://everydaytv.top/play-5-39-0.html$Js=everydaytv
環球新聞檔案,https://everydaytv.top/play-5-40-0.html$Js=everydaytv
共創明「Teen」活出藍天,https://everydaytv.top/play-5-41-0.html$Js=everydaytv
屋企大翻新 II,https://everydaytv.top/play-5-42-0.html$Js=everydaytv
警聲百二秒,https://everydaytv.top/play-5-43-0.html$Js=everydaytv
寰宇掠影,https://everydaytv.top/play-5-44-0.html$Js=everydaytv
運動大本營,https://everydaytv.top/play-5-45-0.html$Js=everydaytv
探古尋源,https://everydaytv.top/play-5-46-0.html$Js=everydaytv
國潮,https://everydaytv.top/play-5-47-0.html$Js=everydaytv
癌症系列IV,https://everydaytv.top/play-5-48-0.html$Js=everydaytv
周末睇樓團,https://everydaytv.top/play-5-49-0.html$Js=everydaytv
武．測天II,https://everydaytv.top/play-5-50-0.html$Js=everydaytv
行行有好景II,https://everydaytv.top/play-5-51-0.html$Js=everydaytv
每區有樓睇,https://everydaytv.top/play-5-52-0.html$Js=everydaytv
跨境鐵路新紀元 - 高鐵篇,https://everydaytv.top/play-5-53-0.html$Js=everydaytv
「廠」造未來,https://everydaytv.top/play-5-54-0.html$Js=everydaytv
跨境鐵路新紀元 - 東鐵綫篇,https://everydaytv.top/play-5-55-0.html$Js=everydaytv
2022難忘記,https://everydaytv.top/play-5-56-0.html$Js=everydaytv
齊來學習二十大,https://everydaytv.top/play-5-57-0.html$Js=everydaytv
創科新領域,https://everydaytv.top/play-5-58-0.html$Js=everydaytv
尋人記,https://everydaytv.top/play-5-59-0.html$Js=everydaytv
醫療系列,https://everydaytv.top/play-5-60-0.html$Js=everydaytv
屋企大翻新,https://everydaytv.top/play-5-61-0.html$Js=everydaytv
修訂逃犯條例直播重溫,https://everydaytv.top/play-5-62-0.html$Js=everydaytv
長命百二歲 II,https://everydaytv.top/play-5-63-0.html$Js=everydaytv
橋通港珠澳,https://everydaytv.top/play-5-64-0.html$Js=everydaytv
細看大灣區II,https://everydaytv.top/play-5-65-0.html$Js=everydaytv
細看大灣區,https://everydaytv.top/play-5-66-0.html$Js=everydaytv
長命百二歲,https://everydaytv.top/play-5-67-0.html$Js=everydaytv
話說當年,https://everydaytv.top/play-5-68-0.html$Js=everydaytv
七點半新聞報道,https://everydaytv.top/play-5-69-0.html$Js=everydaytv
手語新聞報道,https://everydaytv.top/play-5-70-0.html$Js=everydaytv
明珠雜誌,https://everydaytv.top/play-5-71-0.html$Js=everydaytv
普通話新聞報道,https://everydaytv.top/play-5-72-0.html$Js=everydaytv
交易直播室 (普通話),https://everydaytv.top/play-5-73-0.html$Js=everydaytv
財經演義 (英文版),https://everydaytv.top/play-5-74-0.html$Js=everydaytv
清心直說,https://everydaytv.top/play-5-75-0.html$Js=everydaytv
金錢面面觀,https://everydaytv.top/play-5-76-0.html$Js=everydaytv
2022香港大事回顧 (英文版) ,https://everydaytv.top/play-5-77-0.html$Js=everydaytv
2022國際大事回顧 (英文版) ,https://everydaytv.top/play-5-78-0.html$Js=everydaytv
2022財經大事回顧 (英文版) ,https://everydaytv.top/play-5-79-0.html$Js=everydaytv
無窮之路 II - 無價之保 (英文版),https://everydaytv.top/play-5-80-0.html$Js=everydaytv
無窮之路 (英文版),https://everydaytv.top/play-5-81-0.html$Js=everydaytv
十點無綫財經,https://everydaytv.top/play-5-82-0.html$Js=everydaytv
日日有樓睇,https://everydaytv.top/play-5-83-0.html$Js=everydaytv
樓市點睇,https://everydaytv.top/play-5-84-0.html$Js=everydaytv
無綫財經新聞 (18:00),https://everydaytv.top/play-5-85-0.html$Js=everydaytv
最強生命線,https://everydaytv.top/play-5-86-0.html$Js=everydaytv
收市大檢閱,https://everydaytv.top/play-5-87-0.html$Js=everydaytv
樓市速遞,https://everydaytv.top/play-5-88-0.html$Js=everydaytv
智富360,https://everydaytv.top/play-5-89-0.html$Js=everydaytv
財經消息,https://everydaytv.top/play-5-90-0.html$Js=everydaytv
共創明「Teen」活出藍天,https://everydaytv.top/play-5-91-0.html$Js=everydaytv
起動南沙,https://everydaytv.top/play-5-92-0.html$Js=everydaytv
樓計專家,https://everydaytv.top/play-5-93-0.html$Js=everydaytv
無耆不有,https://everydaytv.top/play-5-94-0.html$Js=everydaytv
財經演義,https://everydaytv.top/play-5-95-0.html$Js=everydaytv
大灣區解碼,https://everydaytv.top/play-5-96-0.html$Js=everydaytv
新聞掏寶,https://everydaytv.top/play-5-97-0.html$Js=everydaytv
創科導航,https://everydaytv.top/play-5-98-0.html$Js=everydaytv
實戰攻略,https://everydaytv.top/play-5-99-0.html$Js=everydaytv
家居．築則,https://everydaytv.top/play-5-100-0.html$Js=everydaytv
技術分析,https://everydaytv.top/play-5-101-0.html$Js=everydaytv
資金流向,https://everydaytv.top/play-5-102-0.html$Js=everydaytv
🇰🇷韩国频道,#genre#
KBS 1,https://everydaytv.top/play-6-0-0.html$Js=everydaytv
KBS 1 ,https://everydaytv.top/play-6-1-0.html$Js=everydaytv
KBS 2,https://everydaytv.top/play-6-2-0.html$Js=everydaytv
KBS 2 ,https://everydaytv.top/play-6-3-0.html$Js=everydaytv
KBS NEWS D,https://everydaytv.top/play-6-4-0.html$Js=everydaytv
KBS DRAMA,https://everydaytv.top/play-6-5-0.html$Js=everydaytv
KBS JOY,https://everydaytv.top/play-6-6-0.html$Js=everydaytv
KBS STORY,https://everydaytv.top/play-6-7-0.html$Js=everydaytv
KBS LIFE,https://everydaytv.top/play-6-8-0.html$Js=everydaytv
KBS KIDS,https://everydaytv.top/play-6-9-0.html$Js=everydaytv
KBS 孤岛直播,https://everydaytv.top/play-6-10-0.html$Js=everydaytv
KBS WORLD,https://everydaytv.top/play-6-11-0.html$Js=everydaytv
🇨🇳中國移動專區,#genre#
八大第1台,https://everydaytv.top/play-7-0-0.html$Js=everydaytv
八大娛樂台,https://everydaytv.top/play-7-1-0.html$Js=everydaytv
八大綜合台,https://everydaytv.top/play-7-2-0.html$Js=everydaytv
東森電影,https://everydaytv.top/play-7-3-0.html$Js=everydaytv
東森LIVE,https://everydaytv.top/play-7-4-0.html$Js=everydaytv
東森綜合,https://everydaytv.top/play-7-5-0.html$Js=everydaytv
翡翠台,https://everydaytv.top/play-7-6-0.html$Js=everydaytv
非凡新聞,https://everydaytv.top/play-7-7-0.html$Js=everydaytv
公視,https://everydaytv.top/play-7-8-0.html$Js=everydaytv
HOY TV,https://everydaytv.top/play-7-9-0.html$Js=everydaytv
HOY資訊台,https://everydaytv.top/play-7-10-0.html$Js=everydaytv
J2,https://everydaytv.top/play-7-11-0.html$Js=everydaytv
民視,https://everydaytv.top/play-7-12-0.html$Js=everydaytv
美亞電影台,https://everydaytv.top/play-7-13-0.html$Js=everydaytv
明珠台,https://everydaytv.top/play-7-14-0.html$Js=everydaytv
三立都會台,https://everydaytv.top/play-7-15-0.html$Js=everydaytv
三立台灣台,https://everydaytv.top/play-7-16-0.html$Js=everydaytv
